rs_id,chromosome,snp_position,gene_symbol,effect_size,p_adjust,regulated_gene,tissue,lincrna_begin,lincrna_end,gwas_id,gwas_phenotype
rs10108511,8,11435516,LINC00208,-0.24,2.87E-05,NEIL2,Nerve_Tibial,11433822,11438851,27527254,barretts esophagus  or esophageal adenocarcinoma
rs7246657,19,37747108,LINC01535,0.35,1.71E-07,ZNF793,Nerve_Tibial,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,0.43,3.62E-08,ZNF571-AS1,Nerve_Tibial,37746818,37756377,23870195,coronary artery calcification
rs16975963,19,38325536,LOC100631378,0.28,6.46E-08,ZNF781,Nerve_Tibial,38324103,38344187,20834067,longevity
rs7246657,19,37747108,LINC01535,-0.44,1.45E-08,ZFP30,Nerve_Tibial,37746818,37756377,23870195,coronary artery calcification
rs71327718,3,125592857,LOC101927056,1.01,3.13E-15,FAM86JP,Nerve_Tibial,125546100,125604920,23319000,metabolite levels
rs7523273,1,207977083,MIR29C,-0.23,7.35E-14,CD46,Nerve_Tibial,207974863,208042495,26198764,schizophrenia
rs7523273,1,207977083,MIR29C,-0.23,7.35E-14,CD46,Nerve_Tibial,207974863,208042495,25056061,schizophrenia
rs1318653,1,208014922,MIR29C,-0.29,5.92E-17,CD46,Nerve_Tibial,207974863,208042495,25344690,febrile seizures
rs1318653,1,208014922,MIR29C,-0.29,5.92E-17,CD46,Nerve_Tibial,207974863,208042495,25344690,febrile seizures
rs6669384,1,208025926,MIR29C,-0.29,5.36E-16,CD46,Nerve_Tibial,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs6669384,1,208025926,MIR29C,-0.29,5.36E-16,CD46,Nerve_Tibial,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs1967689,1,208039471,MIR29C,-0.27,4.88E-16,CD46,Nerve_Tibial,207974863,208042495,23326517,age-related macular degeneration
rs2154319,1,41745770,LOC102723924,-0.34,2.91E-06,SCMH1,Nerve_Tibial,41708247,41750533,20881960,height
rs7359257,15,67702907,IQCH-AS1,0.25,1.94E-05,MAP2K5,Nerve_Tibial,67700415,67705876,21102462,menarche
rs9262631,6,31024601,HCG22,-0.38,8.16E-05,CCHCR1,Nerve_Tibial,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.38,8.16E-05,CCHCR1,Nerve_Tibial,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.82,2.27E-08,MICA,Nerve_Tibial,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.82,2.27E-08,MICA,Nerve_Tibial,31021984,31027653,21051598,hiv related
rs9402743,6,136001034,LINC00271,-0.24,5.12E-05,AHI1,Nerve_Tibial,135993452,136037193,26502338,systemic lupus erythematosus
rs9402743,6,136001034,LINC00271,-0.24,5.12E-05,AHI1,Nerve_Tibial,135993452,136037193,27399966,systemic lupus erythematosus
rs17807185,7,77308295,APTR,-0.23,4.33E-06,PTPN12,Nerve_Tibial,77288410,77325582,25282103,height
rs134882,22,42670965,OGFRP1,0.49,2.84E-18,NAGA,Nerve_Tibial,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.49,2.84E-18,NAGA,Nerve_Tibial,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,0.29,1.97E-05,SMDT1,Nerve_Tibial,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.29,1.97E-05,SMDT1,Nerve_Tibial,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.46,5.80E-09,CYP2D6,Nerve_Tibial,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.46,5.80E-09,CYP2D6,Nerve_Tibial,42665774,42671039,20889312,schizophrenia
rs836788,5,79912044,LINC01337,-0.31,1.63E-05,DHFR,Nerve_Tibial,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs836788,5,79912044,LINC01337,0.40,1.42E-10,MSH3,Nerve_Tibial,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs7188445,16,79734987,LINC01229,-0.45,1.80E-09,MAFTRR,Nerve_Tibial,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.46,4.89E-10,MAFTRR,Nerve_Tibial,79710005,79760326,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.47,2.46E-10,MAFTRR,Nerve_Tibial,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.47,2.46E-10,MAFTRR,Nerve_Tibial,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.47,2.46E-10,MAFTRR,Nerve_Tibial,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.48,1.70E-10,MAFTRR,Nerve_Tibial,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs10504229,8,58196495,LINC00588,0.48,9.40E-06,LINC01606,Nerve_Tibial,58192102,58197290,27016271,developmental language disorder (linguistic errors)
rs10504229,8,58196495,LINC00588,0.48,9.40E-06,LINC01606,Nerve_Tibial,58192102,58197290,27016271,developmental language disorder (linguistic errors)
rs2562456,19,21666210,LINC00664,-0.18,7.72E-05,ZNF708,Nerve_Tibial,21666176,21682100,19207018,pain
rs3892630,19,33181484,LOC105372367,-0.29,5.19E-05,ANKRD27,Nerve_Tibial,33177995,33182656,23222517,red blood cell traits
rs3892630,19,33181484,LOC105372367,-0.69,9.85E-18,NUDT19,Nerve_Tibial,33177995,33182656,23222517,red blood cell traits
rs3892630,19,33181484,LOC105372367,-0.42,8.17E-06,FAAP24,Nerve_Tibial,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.37,1.11E-12,ZNF181,Nerve_Tibial,35279486,35307804,25811787,urate levels related
rs4794820,17,38089344,LOC101928947,-0.55,2.88E-11,GSDMA,Nerve_Tibial,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.62,2.17E-15,GSDMA,Nerve_Tibial,38084120,38095854,21150878,asthma related
rs4794820,17,38089344,LOC101928947,-0.26,1.06E-05,MIR6884,Nerve_Tibial,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.29,7.21E-07,MIR6884,Nerve_Tibial,38084120,38095854,21150878,asthma related
rs11260603,1,1079198,LINC01342,-0.51,1.64E-08,TTLL10,Esophagus_Mucosa,1072397,1079436,23382691,igg related
rs12802200,11,566936,MIR210HG,0.28,2.61E-05,ANO9,Esophagus_Mucosa,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.22,2.04E-05,PTDSS2,Esophagus_Mucosa,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.28,1.30E-10,HRAS,Esophagus_Mucosa,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.42,3.85E-09,DRD4,Esophagus_Mucosa,565660,568420,26502338,systemic lupus erythematosus
rs4924410,15,40339494,SRP14-AS1,-0.34,1.93E-10,EIF2AK4,Esophagus_Mucosa,40331550,40349184,22327514,ewing sarcoma
rs11078597,17,1618363,MIR22,-0.36,1.34E-06,SERPINF2,Esophagus_Mucosa,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.36,1.34E-06,SERPINF2,Esophagus_Mucosa,1616742,1620468,23022100,serum albumin level
rs144447022,6,29244219,LOC101929006,1.44,5.75E-13,ZFP57,Esophagus_Mucosa,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.43,3.05E-06,IFITM4P,Esophagus_Mucosa,29942889,29946183,24939585,age-related hearing impairment
rs10108511,8,11435516,LINC00208,-0.38,1.26E-09,FAM167A,Esophagus_Mucosa,11433822,11438851,27527254,barretts esophagus  or esophageal adenocarcinoma
rs7246657,19,37747108,LINC01535,0.28,1.82E-05,ZNF585B,Esophagus_Mucosa,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,0.28,4.30E-07,ZNF793,Esophagus_Mucosa,37746818,37756377,23870195,coronary artery calcification
rs71327718,3,125592857,LOC101927056,0.93,7.58E-17,FAM86JP,Esophagus_Mucosa,125546100,125604920,23319000,metabolite levels
rs71327718,3,125592857,LOC101927056,0.63,1.21E-05,ALG1L,Esophagus_Mucosa,125546100,125604920,23319000,metabolite levels
rs2252790,6,116663323,DSE,-0.35,2.99E-07,TSPYL4,Esophagus_Mucosa,116601381,116691436,28040410,fast beta electroencephalogram
rs11717138,3,156534628,LINC00886,0.41,3.86E-05,LEKR1,Esophagus_Mucosa,156470852,156534851,27182965,nose size
rs134882,22,42670965,OGFRP1,0.25,1.01E-04,SMDT1,Esophagus_Mucosa,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.25,1.01E-04,SMDT1,Esophagus_Mucosa,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.25,1.85E-05,NDUFA6-AS1,Esophagus_Mucosa,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.25,1.85E-05,NDUFA6-AS1,Esophagus_Mucosa,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.78,3.40E-20,CYP2D6,Esophagus_Mucosa,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.78,3.40E-20,CYP2D6,Esophagus_Mucosa,42665774,42671039,20889312,schizophrenia
rs9402743,6,136001034,LINC00271,-0.32,1.52E-05,AHI1,Esophagus_Mucosa,135993452,136037193,26502338,systemic lupus erythematosus
rs9402743,6,136001034,LINC00271,-0.32,1.52E-05,AHI1,Esophagus_Mucosa,135993452,136037193,27399966,systemic lupus erythematosus
rs9262631,6,31024601,HCG22,-0.35,1.63E-05,MUC21,Esophagus_Mucosa,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.35,1.63E-05,MUC21,Esophagus_Mucosa,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.42,8.67E-05,CCHCR1,Esophagus_Mucosa,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.42,8.67E-05,CCHCR1,Esophagus_Mucosa,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.74,8.29E-08,MICA,Esophagus_Mucosa,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.74,8.29E-08,MICA,Esophagus_Mucosa,31021984,31027653,21051598,hiv related
rs17807185,7,77308295,APTR,-0.22,3.27E-05,PTPN12,Esophagus_Mucosa,77288410,77325582,25282103,height
rs7188445,16,79734987,LINC01229,-0.46,1.49E-07,MAFTRR,Esophagus_Mucosa,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.48,2.51E-08,MAFTRR,Esophagus_Mucosa,79710005,79760326,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.51,5.37E-09,MAFTRR,Esophagus_Mucosa,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.51,5.37E-09,MAFTRR,Esophagus_Mucosa,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.51,5.37E-09,MAFTRR,Esophagus_Mucosa,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.52,2.56E-09,MAFTRR,Esophagus_Mucosa,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs836788,5,79912044,LINC01337,0.33,3.14E-13,MSH3,Esophagus_Mucosa,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs35741374,2,61072567,LINC01185,0.15,2.86E-05,REL,Esophagus_Mucosa,61052267,61108449,25574825,inflammatory skin disease
rs842625,2,61080482,LINC01185,-0.15,2.86E-05,REL,Esophagus_Mucosa,61074895,61108449,25903422,psoriasis
rs842625,2,61080482,LINC01185,-0.15,2.86E-05,REL,Esophagus_Mucosa,61074895,61108449,25903422,psoriasis
rs702873,2,61081542,LINC01185,-0.15,3.49E-05,REL,Esophagus_Mucosa,61074895,61108449,25574825,psoriasis
rs702873,2,61081542,LINC01185,-0.15,3.49E-05,REL,Esophagus_Mucosa,61074895,61108449,22170493,psoriatic arthritis
rs702873,2,61081542,LINC01185,-0.15,3.49E-05,REL,Esophagus_Mucosa,61074895,61108449,20953190,psoriasis
rs13010713,2,181996045,LOC101927156,-0.26,1.02E-05,UBE2E3,Esophagus_Mucosa,181966659,182056780,20190752,celiac disease
rs1018326,2,182007800,LOC101927156,-0.26,1.28E-05,UBE2E3,Esophagus_Mucosa,181966659,182056780,20062062,ankylosing spondylitis
rs2562456,19,21666210,LINC00664,-0.44,7.15E-09,ZNF708,Esophagus_Mucosa,21666176,21682100,19207018,pain
rs2562456,19,21666210,LINC00664,-0.25,3.43E-05,ZNF493,Esophagus_Mucosa,21666176,21682100,19207018,pain
rs3892630,19,33181484,LOC105372367,-0.55,1.99E-19,NUDT19,Esophagus_Mucosa,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.22,2.46E-05,ZNF181,Esophagus_Mucosa,35279486,35307804,25811787,urate levels related
rs6503525,17,38095174,LOC101928947,0.19,5.18E-07,GSDMB,Esophagus_Mucosa,38084120,38095854,21150878,asthma related
rs7246657,19,37747108,LINC01535,0.82,2.36E-05,ZNF571-AS1,Uterus,37746818,37756377,23870195,coronary artery calcification
rs71327718,3,125592857,LOC101927056,1.06,7.73E-09,FAM86JP,Uterus,125546100,125604920,23319000,metabolite levels
rs1318653,1,208014922,MIR29C,-0.30,2.09E-06,CD46,Brain_Hippocampus,207974863,208042495,25344690,febrile seizures
rs1318653,1,208014922,MIR29C,-0.30,2.09E-06,CD46,Brain_Hippocampus,207974863,208042495,25344690,febrile seizures
rs6669384,1,208025926,MIR29C,-0.28,5.64E-06,CD46,Brain_Hippocampus,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs6669384,1,208025926,MIR29C,-0.28,5.64E-06,CD46,Brain_Hippocampus,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs1967689,1,208039471,MIR29C,-0.26,8.15E-06,CD46,Brain_Hippocampus,207974863,208042495,23326517,age-related macular degeneration
rs7172809,15,77819676,LOC101929457,-0.36,4.67E-06,PEAK1,Brain_Hippocampus,77817882,77826452,25524916,glucose homeostasis traits
rs134882,22,42670965,OGFRP1,-0.75,1.74E-10,CYP2D6,Brain_Hippocampus,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.75,1.74E-10,CYP2D6,Brain_Hippocampus,42665774,42671039,20889312,schizophrenia
rs12802200,11,566936,MIR210HG,-0.20,5.08E-05,PTDSS2,Adipose_Subcutaneous,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.28,5.28E-09,HRAS,Adipose_Subcutaneous,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,0.31,1.10E-05,TMEM80,Adipose_Subcutaneous,565660,568420,26502338,systemic lupus erythematosus
rs4924410,15,40339494,SRP14-AS1,-0.34,6.10E-11,EIF2AK4,Adipose_Subcutaneous,40331550,40349184,22327514,ewing sarcoma
rs11078597,17,1618363,MIR22,-0.21,3.99E-06,SERPINF2,Adipose_Subcutaneous,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.21,3.99E-06,SERPINF2,Adipose_Subcutaneous,1616742,1620468,23022100,serum albumin level
rs9392556,6,4146198,LOC100507506,-0.39,4.56E-12,C6orf201,Adipose_Subcutaneous,4136306,4157619,24816252,blood metabolite levels
rs6904029,6,29943067,HCG9,0.15,1.67E-04,GABBR1,Adipose_Subcutaneous,29942889,29946183,24939585,age-related hearing impairment
rs144447022,6,29244219,LOC101929006,0.90,5.04E-07,ZFP57,Adipose_Subcutaneous,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.40,4.72E-07,IFITM4P,Adipose_Subcutaneous,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.46,3.56E-09,HLA-J,Adipose_Subcutaneous,29942889,29946183,24939585,age-related hearing impairment
rs10108511,8,11435516,LINC00208,-0.24,6.97E-05,FDFT1,Adipose_Subcutaneous,11433822,11438851,27527254,barretts esophagus  or esophageal adenocarcinoma
rs7246657,19,37747108,LINC01535,0.31,3.93E-06,ZNF585B,Adipose_Subcutaneous,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,0.27,4.45E-07,HKR1,Adipose_Subcutaneous,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,0.44,1.64E-11,ZNF793,Adipose_Subcutaneous,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,-0.37,4.73E-08,ZFP30,Adipose_Subcutaneous,37746818,37756377,23870195,coronary artery calcification
rs71327718,3,125592857,LOC101927056,0.79,7.93E-14,FAM86JP,Adipose_Subcutaneous,125546100,125604920,23319000,metabolite levels
rs7523273,1,207977083,MIR29C,-0.16,1.35E-06,CD46,Adipose_Subcutaneous,207974863,208042495,26198764,schizophrenia
rs7523273,1,207977083,MIR29C,-0.16,1.35E-06,CD46,Adipose_Subcutaneous,207974863,208042495,25056061,schizophrenia
rs1318653,1,208014922,MIR29C,-0.23,1.38E-09,CD46,Adipose_Subcutaneous,207974863,208042495,25344690,febrile seizures
rs1318653,1,208014922,MIR29C,-0.23,1.38E-09,CD46,Adipose_Subcutaneous,207974863,208042495,25344690,febrile seizures
rs6669384,1,208025926,MIR29C,-0.22,1.18E-08,CD46,Adipose_Subcutaneous,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs6669384,1,208025926,MIR29C,-0.22,1.18E-08,CD46,Adipose_Subcutaneous,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs1967689,1,208039471,MIR29C,-0.18,6.50E-07,CD46,Adipose_Subcutaneous,207974863,208042495,23326517,age-related macular degeneration
rs7359257,15,67702907,IQCH-AS1,0.26,2.55E-08,MAP2K5,Adipose_Subcutaneous,67700415,67705876,21102462,menarche
rs7359257,15,67702907,IQCH-AS1,0.19,6.98E-05,SKOR1,Adipose_Subcutaneous,67700415,67705876,21102462,menarche
rs7172809,15,77819676,LOC101929457,-0.19,3.19E-05,PEAK1,Adipose_Subcutaneous,77817882,77826452,25524916,glucose homeostasis traits
rs1372356,14,88515949,LINC01146,0.23,2.04E-05,GALC,Adipose_Subcutaneous,88511072,88559509,24962563,food antigen igg levels
rs9262631,6,31024601,HCG22,0.62,3.91E-06,PSORS1C1,Adipose_Subcutaneous,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,0.62,3.91E-06,PSORS1C1,Adipose_Subcutaneous,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,0.67,1.75E-05,PSORS1C2,Adipose_Subcutaneous,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,0.67,1.75E-05,PSORS1C2,Adipose_Subcutaneous,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.36,5.01E-05,CCHCR1,Adipose_Subcutaneous,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.36,5.01E-05,CCHCR1,Adipose_Subcutaneous,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.78,1.33E-08,POU5F1,Adipose_Subcutaneous,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.78,1.33E-08,POU5F1,Adipose_Subcutaneous,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.62,2.07E-07,MICA,Adipose_Subcutaneous,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.62,2.07E-07,MICA,Adipose_Subcutaneous,31021984,31027653,21051598,hiv related
rs9402743,6,136001034,LINC00271,-0.23,2.67E-05,AHI1,Adipose_Subcutaneous,135993452,136037193,26502338,systemic lupus erythematosus
rs9402743,6,136001034,LINC00271,-0.23,2.67E-05,AHI1,Adipose_Subcutaneous,135993452,136037193,27399966,systemic lupus erythematosus
rs17807185,7,77308295,APTR,-0.20,2.31E-06,PTPN12,Adipose_Subcutaneous,77288410,77325582,25282103,height
rs17807185,7,77308295,APTR,-0.25,3.33E-06,TMEM60,Adipose_Subcutaneous,77288410,77325582,25282103,height
rs134882,22,42670965,OGFRP1,0.25,1.60E-11,NAGA,Adipose_Subcutaneous,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.25,1.60E-11,NAGA,Adipose_Subcutaneous,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,0.40,3.61E-10,SMDT1,Adipose_Subcutaneous,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.40,3.61E-10,SMDT1,Adipose_Subcutaneous,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.58,1.78E-14,CYP2D6,Adipose_Subcutaneous,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.58,1.78E-14,CYP2D6,Adipose_Subcutaneous,42665774,42671039,20889312,schizophrenia
rs836788,5,79912044,LINC01337,0.30,5.99E-09,MSH3,Adipose_Subcutaneous,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs7188445,16,79734987,LINC01229,-0.73,2.34E-19,MAFTRR,Adipose_Subcutaneous,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.76,6.73E-21,MAFTRR,Adipose_Subcutaneous,79710005,79760326,21565293,thyroid related
rs3813579,16,79749276,LINC01229,-0.39,2.43E-06,MAFTRR,Adipose_Subcutaneous,79747744,79832987,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.74,1.89E-19,MAFTRR,Adipose_Subcutaneous,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.74,1.89E-19,MAFTRR,Adipose_Subcutaneous,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.74,1.89E-19,MAFTRR,Adipose_Subcutaneous,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.74,1.28E-18,MAFTRR,Adipose_Subcutaneous,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs2562456,19,21666210,LINC00664,-0.42,3.65E-09,ZNF708,Adipose_Subcutaneous,21666176,21682100,19207018,pain
