mapped_snp,mapped_snp_gene,mapped_snp_mirna,ld_snp,r^2,chromosome,ld_snp_position,ld_gene_symbol,effect_size,p_adjust,tissue,gwas_id,gwas_phenotype
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.413891,3.51299e-09,Muscle_Skeletal,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.423499,1.37816e-10,Adipose_Subcutaneous,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.44543,1.51294e-05,Esophagus_Gastroesophageal_Junction,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.461473,1.0521e-21,Whole_Blood,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.558235,6.41076e-06,Artery_Coronary,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.575857,7.00429e-09,Skin_Not_Sun_Exposed_Suprapubic,20195514,primary tooth development
rs1042818,HOXB2,miR-139-5p,rs6504340,0.9111,17,46617019,HOXB1-HOXB2,0.577612,1.64702e-06,Spleen,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.215034,2.35309e-05,Adipose_Subcutaneous,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.241074,4.67561e-08,Colon_Transverse,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.279859,1.93855e-07,Whole_Blood,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.28091,3.20116e-05,Whole_Blood,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.283975,2.57196e-08,Thyroid,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.29692,2.20061e-09,Adipose_Visceral_Omentum,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.326918,2.46958e-06,Muscle_Skeletal,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.335032,4.57386e-06,Esophagus_Muscularis,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.354433,5.55552e-11,Cells_Transformed_fibroblasts,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.358991,2.87382e-05,Colon_Sigmoid,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.367434,7.78843e-13,Lung,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.371387,8.38004e-05,Nerve_Tibial,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.413891,3.51299e-09,Muscle_Skeletal,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.423499,1.37816e-10,Adipose_Subcutaneous,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.44543,1.51294e-05,Esophagus_Gastroesophageal_Junction,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.461473,1.0521e-21,Whole_Blood,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.558235,6.41076e-06,Artery_Coronary,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.575857,7.00429e-09,Skin_Not_Sun_Exposed_Suprapubic,20195514,primary tooth development
rs1042822,HOXB2,miR-186-5p,rs6504340,0.8991,17,46617019,HOXB1-HOXB2,0.577612,1.64702e-06,Spleen,20195514,primary tooth development
rs1047796,MLXIP,miR-124-3p.1,rs11835818,0.8943,12,122494809,BCL7A,0.382326,1.47038e-09,Colon_Transverse,25282103,height
rs1047796,MLXIP,miR-124-3p.1,rs11835818,0.8943,12,122494809,BCL7A,0.407231,1.666e-09,Cells_Transformed_fibroblasts,25282103,height
rs1047796,MLXIP,miR-124-3p.1,rs7953704,1.0,12,122625992,MLXIP,-0.450406,1.82627e-13,Colon_Transverse,23263486,urate levels
rs1047796,MLXIP,miR-124-3p.1,rs7953704,1.0,12,122625992,MLXIP,-0.464462,1.81355e-12,Cells_Transformed_fibroblasts,23263486,urate levels
rs1047796,MLXIP,miR-124-3p.1,rs7953704,1.0,12,122625992,MLXIP,-0.491269,8.76202e-07,Small_Intestine_Terminal_Ileum,23263486,urate levels
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,-0.343138,3.13622e-05,Thyroid,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.263486,9.8799e-06,Esophagus_Mucosa,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.412838,1.90546e-05,Esophagus_Mucosa,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.467528,4.02385e-08,Cells_Transformed_fibroblasts,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.47175,1.71203e-07,Muscle_Skeletal,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.535862,1.73659e-05,Artery_Aorta,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.555607,3.88613e-06,Lung,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.575281,2.399e-06,Esophagus_Muscularis,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.578241,3.84988e-06,Adipose_Visceral_Omentum,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.589743,8.56524e-09,Adipose_Subcutaneous,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.626666,4.18642e-06,Heart_Left_Ventricle,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.653632,1.44342e-06,Heart_Atrial_Appendage,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.690066,9.06915e-11,Artery_Tibial,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.695645,4.97498e-10,Thyroid,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.811484,4.06125e-06,Brain_Nucleus_accumbens_basal_ganglia,23535732,prostate cancer
rs1056801,SEPT2,miR-17-5p/20-5p/93-5p/106-5p/519-3p,rs3771570,1.0,2,242382864,FARP2,0.837913,2.61593e-14,Nerve_Tibial,23535732,prostate cancer
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.319298,7.59976e-07,Thyroid,19430479,systolic blood pressure
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.319298,7.59976e-07,Thyroid,26343387,myocardial infarction
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.479158,4.52744e-05,Testis,19430479,systolic blood pressure
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.479158,4.52744e-05,Testis,26343387,myocardial infarction
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.514042,2.93074e-05,Skin_Not_Sun_Exposed_Suprapubic,19430479,systolic blood pressure
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.514042,2.93074e-05,Skin_Not_Sun_Exposed_Suprapubic,26343387,myocardial infarction
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.674481,3.64528e-11,Thyroid,19430479,systolic blood pressure
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,-0.674481,3.64528e-11,Thyroid,26343387,myocardial infarction
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,0.489088,8.41064e-05,Adipose_Visceral_Omentum,19430479,systolic blood pressure
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,0.489088,8.41064e-05,Adipose_Visceral_Omentum,26343387,myocardial infarction
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,0.489406,1.37023e-06,Testis,19430479,systolic blood pressure
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,0.489406,1.37023e-06,Testis,26343387,myocardial infarction
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,0.651096,1.3356e-05,Pancreas,19430479,systolic blood pressure
rs11191548,NT5C2,miR-1-3p/206,rs1004467,0.9307,10,104594507,CYP17A1,0.651096,1.3356e-05,Pancreas,26343387,myocardial infarction
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,-0.219054,8.12945e-05,Cells_Transformed_fibroblasts,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,-0.242114,4.36111e-06,Cells_Transformed_fibroblasts,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,-0.39915,1.39943e-07,Thyroid,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,-0.409925,3.97439e-05,Artery_Aorta,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,-0.554522,6.57524e-06,Thyroid,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,-0.611204,6.38536e-05,Cells_EBV-transformed_lymphocytes,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,0.163004,3.02769e-05,Whole_Blood,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,0.208553,7.01006e-05,Cells_Transformed_fibroblasts,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,0.228883,0.000106632,Esophagus_Muscularis,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,0.472582,8.77984e-06,Testis,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs10883832,0.9877,10,104871279,NT5C2,0.755354,3.75268e-06,Pancreas,26198764,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,-0.202945,0.000141606,Cells_Transformed_fibroblasts,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,-0.23165,4.5227e-06,Cells_Transformed_fibroblasts,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,-0.419918,5.96268e-09,Thyroid,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,-0.433355,8.53363e-06,Artery_Aorta,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,-0.595863,3.4838e-05,Cells_EBV-transformed_lymphocytes,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,-0.620905,6.45452e-07,Testis,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,-0.637961,4.61422e-08,Thyroid,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,0.157247,3.21227e-05,Whole_Blood,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,0.503093,4.72118e-06,Testis,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,0.603064,5.74953e-06,Adipose_Visceral_Omentum,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191416,0.9294,10,104604916,PFN1P11,0.658254,3.88611e-05,Pancreas,26343387,coronary artery disease
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.229222,5.8792e-05,Cells_Transformed_fibroblasts,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.229222,5.8792e-05,Cells_Transformed_fibroblasts,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.229222,5.8792e-05,Cells_Transformed_fibroblasts,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.229222,5.8792e-05,Cells_Transformed_fibroblasts,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.229222,5.8792e-05,Cells_Transformed_fibroblasts,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.251325,3.39975e-06,Cells_Transformed_fibroblasts,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.251325,3.39975e-06,Cells_Transformed_fibroblasts,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.251325,3.39975e-06,Cells_Transformed_fibroblasts,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.251325,3.39975e-06,Cells_Transformed_fibroblasts,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.251325,3.39975e-06,Cells_Transformed_fibroblasts,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.459163,1.08383e-05,Artery_Aorta,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.459163,1.08383e-05,Artery_Aorta,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.459163,1.08383e-05,Artery_Aorta,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.459163,1.08383e-05,Artery_Aorta,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.459163,1.08383e-05,Artery_Aorta,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.463697,4.4979e-09,Thyroid,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.463697,4.4979e-09,Thyroid,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.463697,4.4979e-09,Thyroid,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.463697,4.4979e-09,Thyroid,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.463697,4.4979e-09,Thyroid,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.608196,6.67648e-05,Cells_EBV-transformed_lymphocytes,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.608196,6.67648e-05,Cells_EBV-transformed_lymphocytes,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.608196,6.67648e-05,Cells_EBV-transformed_lymphocytes,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.608196,6.67648e-05,Cells_EBV-transformed_lymphocytes,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.608196,6.67648e-05,Cells_EBV-transformed_lymphocytes,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.652567,3.7894e-07,Thyroid,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.652567,3.7894e-07,Thyroid,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.652567,3.7894e-07,Thyroid,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.652567,3.7894e-07,Thyroid,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,-0.652567,3.7894e-07,Thyroid,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.16106,6.71021e-05,Whole_Blood,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.16106,6.71021e-05,Whole_Blood,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.16106,6.71021e-05,Whole_Blood,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.16106,6.71021e-05,Whole_Blood,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.16106,6.71021e-05,Whole_Blood,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.457439,9.52057e-05,Testis,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.457439,9.52057e-05,Testis,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.457439,9.52057e-05,Testis,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.457439,9.52057e-05,Testis,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.457439,9.52057e-05,Testis,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.805479,8.48573e-07,Pancreas,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.805479,8.48573e-07,Pancreas,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.805479,8.48573e-07,Pancreas,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.805479,8.48573e-07,Pancreas,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191454,0.9878,10,104660004,AS3MT-LOC107984265-ASMT,0.805479,8.48573e-07,Pancreas,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,-0.218768,8.2302e-05,Cells_Transformed_fibroblasts,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,-0.242152,4.28715e-06,Cells_Transformed_fibroblasts,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,-0.398456,1.43668e-07,Thyroid,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,-0.408837,4.08618e-05,Artery_Aorta,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,-0.555305,6.2495e-06,Thyroid,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,-0.608088,6.69537e-05,Cells_EBV-transformed_lymphocytes,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,0.162877,3.0408e-05,Whole_Blood,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,0.208806,6.79555e-05,Cells_Transformed_fibroblasts,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,0.229327,0.000101635,Esophagus_Muscularis,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,0.472582,8.77984e-06,Testis,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191560,0.9877,10,104869038,NT5C2,0.756182,3.48739e-06,Pancreas,25673413,body mass index
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,21926974,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,22688191,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,23453885,attention deficit hyperactivity disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,23453885,autism
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,23453885,bipolar disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,23453885,depression or major depressive disorder
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,23453885,schizophrenia
rs11191548,NT5C2,miR-1-3p/206,rs11191580,0.9877,10,104906211,NT5C2,-0.211551,0.000192166,Cells_Transformed_fibroblasts,24861553,body mass index
