mapped_snp_id,mapped_snps_gene,ld_snp,r^2,ld_snp_chromosome,ld_snp_position,ld_gene_symbol,correlation,p_adjust,regulated_vip_gene,tissue
rs2523852,HCG22,rs2523846,1,6,31026589,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2517525,HCG22,rs2523846,0.995943,6,31026589,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs2517523,HCG22,rs2523846,1,6,31026589,HCG22,-0.338763,5.63397e-06,HLA-B,Heart_Atrial_Appendage
rs55644935,TCF20,rs1107553,0.99372,22,42667473,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs55644935,TCF20,rs1107554,0.99372,22,42667594,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs1107553,TCF20,rs1107554,1,22,42667594,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs55644935,TCF20,rs5758690,0.987463,22,42668295,TCF20,0.77194,2.02073e-09,CYP2D6,Heart_Atrial_Appendage
rs1107553,TCF20,rs5758690,0.99372,22,42668295,TCF20,0.77194,2.02073e-09,CYP2D6,Heart_Atrial_Appendage
rs1107554,TCF20,rs5758690,0.99372,22,42668295,TCF20,0.77194,2.02073e-09,CYP2D6,Heart_Atrial_Appendage
rs55644935,TCF20,rs5758691,0.99372,22,42668504,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs1107553,TCF20,rs5758691,1,22,42668504,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs1107554,TCF20,rs5758691,1,22,42668504,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs5758690,TCF20,rs5758691,0.99372,22,42668504,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs55644935,TCF20,rs5758692,0.99372,22,42669029,TCF20,0.774668,2.01503e-09,CYP2D6,Heart_Atrial_Appendage
rs1107553,TCF20,rs5758692,1,22,42669029,TCF20,0.774668,2.01503e-09,CYP2D6,Heart_Atrial_Appendage
rs1107554,TCF20,rs5758692,1,22,42669029,TCF20,0.774668,2.01503e-09,CYP2D6,Heart_Atrial_Appendage
rs5758690,TCF20,rs5758692,0.99372,22,42669029,TCF20,0.774668,2.01503e-09,CYP2D6,Heart_Atrial_Appendage
rs5758691,TCF20,rs5758692,1,22,42669029,TCF20,0.774668,2.01503e-09,CYP2D6,Heart_Atrial_Appendage
rs55644935,TCF20,rs1001587,0.987463,22,42670111,TCF20,0.773571,2.00117e-09,CYP2D6,Heart_Atrial_Appendage
rs1107553,TCF20,rs1001587,0.99372,22,42670111,TCF20,0.773571,2.00117e-09,CYP2D6,Heart_Atrial_Appendage
rs1107554,TCF20,rs1001587,0.99372,22,42670111,TCF20,0.773571,2.00117e-09,CYP2D6,Heart_Atrial_Appendage
rs5758690,TCF20,rs1001587,0.987463,22,42670111,TCF20,0.773571,2.00117e-09,CYP2D6,Heart_Atrial_Appendage
rs5758691,TCF20,rs1001587,0.99372,22,42670111,TCF20,0.773571,2.00117e-09,CYP2D6,Heart_Atrial_Appendage
rs5758692,TCF20,rs1001587,0.99372,22,42670111,TCF20,0.773571,2.00117e-09,CYP2D6,Heart_Atrial_Appendage
rs55644935,TCF20,rs1001586,0.99372,22,42670293,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs1107553,TCF20,rs1001586,1,22,42670293,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs1107554,TCF20,rs1001586,1,22,42670293,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs5758690,TCF20,rs1001586,0.99372,22,42670293,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs5758691,TCF20,rs1001586,1,22,42670293,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs5758692,TCF20,rs1001586,1,22,42670293,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs1001587,TCF20,rs1001586,0.99372,22,42670293,TCF20,0.773022,2.05951e-09,CYP2D6,Heart_Atrial_Appendage
rs55644935,TCF20,rs739147,0.99372,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs1107553,TCF20,rs739147,1,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs1107554,TCF20,rs739147,1,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs5758690,TCF20,rs739147,0.99372,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs5758691,TCF20,rs739147,1,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs5758692,TCF20,rs739147,1,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs1001587,TCF20,rs739147,0.99372,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs1001586,TCF20,rs739147,1,22,42671066,TCF20,0.766924,2.91606e-09,CYP2D6,Heart_Atrial_Appendage
rs9262616,HCG22,rs9262618,1,6,31022237,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262617,HCG22,rs9262619,0.995319,6,31022266,HCG22,-0.316771,3.18169e-06,HLA-B,Nerve_Tibial
rs2523855,HCG22,rs3915966,0.891955,6,31022274,HCG22,-0.301589,7.6149e-07,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262620,0.984179,6,31022489,HCG22,-0.280876,9.6155e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262620,0.984179,6,31022489,HCG22,-0.280876,9.6155e-05,HLA-B,Nerve_Tibial
rs2523855,HCG22,rs2905757,0.896255,6,31022828,HCG22,-0.276231,4.93269e-06,HLA-B,Nerve_Tibial
rs3915966,HCG22,rs2905757,0.90439,6,31022828,HCG22,-0.276231,4.93269e-06,HLA-B,Nerve_Tibial
rs2523854,HCG22,rs9262625,0.960285,6,31022929,HCG22,-0.331309,2.23567e-08,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262626,0.984179,6,31023024,HCG22,-0.280876,9.6155e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262626,0.984179,6,31023024,HCG22,-0.280876,9.6155e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262626,1,6,31023024,HCG22,-0.280876,9.6155e-05,HLA-B,Nerve_Tibial
rs2523854,HCG22,rs9262628,0.960285,6,31023148,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262625,HCG22,rs9262628,1,6,31023148,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs2523854,HCG22,rs9262629,0.952242,6,31023186,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262625,HCG22,rs9262629,0.99191,6,31023186,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262628,HCG22,rs9262629,0.99191,6,31023186,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs7744253,0.865668,6,31023524,HCG22,-0.293374,2.592e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs7744253,0.865668,6,31023524,HCG22,-0.293374,2.592e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs7744253,0.879583,6,31023524,HCG22,-0.293374,2.592e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs7744253,0.879583,6,31023524,HCG22,-0.293374,2.592e-05,HLA-B,Nerve_Tibial
rs2523854,HCG22,rs2523852,0.960285,6,31023868,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262625,HCG22,rs2523852,1,6,31023868,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262628,HCG22,rs2523852,1,6,31023868,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262629,HCG22,rs2523852,0.99191,6,31023868,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262630,0.984179,6,31024385,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262630,0.984179,6,31024385,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262630,1,6,31024385,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262630,1,6,31024385,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262630,0.879583,6,31024385,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs3764808,0.984179,6,31024673,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs3764808,0.984179,6,31024673,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs3764808,1,6,31024673,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs3764808,1,6,31024673,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs3764808,0.879583,6,31024673,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs3764808,1,6,31024673,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs7356893,0.984179,6,31024738,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs7356893,0.984179,6,31024738,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs7356893,1,6,31024738,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs7356893,1,6,31024738,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs7356893,0.879583,6,31024738,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs7356893,1,6,31024738,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs7356893,1,6,31024738,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262633,0.984179,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262633,0.984179,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262633,1,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262633,1,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262633,0.879583,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262633,1,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262633,1,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs7356893,HCG22,rs9262633,1,6,31025265,HCG22,-0.280785,9.64614e-05,HLA-B,Nerve_Tibial
rs2523854,HCG22,rs2517525,0.956389,6,31025361,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262625,HCG22,rs2517525,0.995943,6,31025361,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262628,HCG22,rs2517525,0.995943,6,31025361,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262629,HCG22,rs2517525,0.987885,6,31025361,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs2523852,HCG22,rs2517525,0.995943,6,31025361,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262635,0.984179,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262635,0.984179,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262635,1,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262635,1,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262635,0.879583,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262635,1,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262635,1,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7356893,HCG22,rs9262635,1,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262633,HCG22,rs9262635,1,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262634,HCG22,rs9262635,0.937461,6,31025479,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262636,0.984179,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262636,0.984179,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262636,1,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262636,1,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262636,0.879583,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262636,1,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262636,1,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7356893,HCG22,rs9262636,1,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262633,HCG22,rs9262636,1,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262634,HCG22,rs9262636,0.937461,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262635,HCG22,rs9262636,1,6,31025848,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262637,0.984179,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262637,0.984179,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262637,0.879583,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7356893,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262633,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262634,HCG22,rs9262637,0.937461,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262635,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262636,HCG22,rs9262637,1,6,31025905,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262639,0.984179,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262639,0.984179,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262639,0.879583,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7356893,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262633,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262634,HCG22,rs9262639,0.937461,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262635,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262636,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262637,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262638,HCG22,rs9262639,1,6,31026009,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262640,0.984179,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262640,0.984179,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262640,0.879583,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7356893,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262633,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262634,HCG22,rs9262640,0.937461,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262635,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262636,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262637,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262638,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262639,HCG22,rs9262640,1,6,31026353,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs2523854,HCG22,rs2517523,0.960285,6,31026434,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262625,HCG22,rs2517523,1,6,31026434,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262628,HCG22,rs2517523,1,6,31026434,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262629,HCG22,rs2517523,0.99191,6,31026434,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs2523852,HCG22,rs2517523,1,6,31026434,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs2517525,HCG22,rs2517523,0.995943,6,31026434,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262641,0.984179,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262641,0.984179,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262641,0.879583,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs7356893,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262633,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262634,HCG22,rs9262641,0.937461,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262635,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262636,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262637,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262638,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262639,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs9262640,HCG22,rs9262641,1,6,31026541,HCG22,-0.280861,9.62026e-05,HLA-B,Nerve_Tibial
rs2523854,HCG22,rs2523846,0.960285,6,31026589,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262625,HCG22,rs2523846,1,6,31026589,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262628,HCG22,rs2523846,1,6,31026589,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262629,HCG22,rs2523846,0.99191,6,31026589,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs2523852,HCG22,rs2523846,1,6,31026589,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs2517525,HCG22,rs2523846,0.995943,6,31026589,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs2517523,HCG22,rs2523846,1,6,31026589,HCG22,-0.333147,2.16636e-08,HLA-B,Nerve_Tibial
rs9262616,HCG22,rs9262642,0.984179,6,31026712,HCG22,-0.280872,9.61601e-05,HLA-B,Nerve_Tibial
rs9262618,HCG22,rs9262642,0.984179,6,31026712,HCG22,-0.280872,9.61601e-05,HLA-B,Nerve_Tibial
rs9262620,HCG22,rs9262642,1,6,31026712,HCG22,-0.280872,9.61601e-05,HLA-B,Nerve_Tibial
rs9262626,HCG22,rs9262642,1,6,31026712,HCG22,-0.280872,9.61601e-05,HLA-B,Nerve_Tibial
rs7744253,HCG22,rs9262642,0.879583,6,31026712,HCG22,-0.280872,9.61601e-05,HLA-B,Nerve_Tibial
rs9262630,HCG22,rs9262642,1,6,31026712,HCG22,-0.280872,9.61601e-05,HLA-B,Nerve_Tibial
rs3764808,HCG22,rs9262642,1,6,31026712,HCG22,-0.280872,9.61601e-05,HLA-B,Nerve_Tibial
